Plant code,Region,Spend Category,Combined risk category,High risk site,Audit Status,Audit Request,Hypercare Level
XXX1000000390,No region classified,EM,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000000865,No region classified,Licensee,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000000866,No region classified,Co-Packing,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000001393,No region classified,EM,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000002202,AMEA,Raw materials,High,High Risk,No audit done,Request New Audit,No audit information
XXX1000003529,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000003801,AMEA,Packaging materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000004343,LA,Packaging materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000004772,LA,Raw materials,High,High Risk,Audit compliant,Audit Compliant,Level 3
XXX1000006254,AMEA,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000006620,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000006865,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,Level 2
XXX1000007737,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,No audit information
XXX1000008049,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000008373,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000008374,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000009,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000009114,Not in Supplier DB,Not in Supplier DB,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000009120,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 2
XXX1000009121,Not in Supplier DB,Not in Supplier DB,High,Not applicable,Not applicable,Not applicable,Level 0
XXX1000009223,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000009241,No region classified,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 1
XXX1000009331,MEU,Raw materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000009487,No region classified,Raw materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000009637,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
XXX1000009937,AMEA,EM,High,Not applicable,Not applicable,Not applicable,Level 3
XXX1000010759,AMEA,Raw materials,Low,Not applicable,Not applicable,Not applicable,No audit information
XXX1000011242,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,Level 0
XXX1000011269,AMEA,Packaging materials,Medium,Not applicable,Not applicable,Not applicable,No audit information
