Plant code;Primary Plant activity;Audit code;Audit date;Audit nature;Audit schedule type;Non-verified NCs;Non-verified Business Critical NCs;Non-verified Critical NCs;Non-verified Major NCs;Non-verified Minor NCs;Overdue non-verified NCs;Country/Region
XXX1000000282;Manufacture of bakery products;;;;;;;;;;;United States
XXX1000000390;Manufacture of bakery products;XXXA600186590;28/04/2026;Periodic audit;Announced;8;0;0;5;3;0;United States
XXX1000000865;Manufacture of other food products n.e.c.;XXXA600129816;29/05/2025;Partial follow-up audit;Announced;2;0;0;2;0;2;United States
XXX1000000866;Manufacture of other food products n.e.c.;XXXA600079763;14/08/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1000001393;Manufacture of bakery products;XXXA600185756;25/02/2026;Periodic audit;Semi-announced;2;0;0;2;0;2;United States
XXX1000002202;Manufacture of other food products n.e.c.;;;;;;;;;;;Malaysia
XXX1000003;;;;;;;;;;;;Thailand
XXX1000003529;Manufacture of other articles of paper and paperboard;XXXA600109265;20/02/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Canada
XXX1000003801;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;Australia
XXX1000003830;Manufacture of other food products n.e.c.;XXXA600134938;28/05/2025;Periodic audit;Announced;3;0;0;2;1;3;China
XXX1000004343;Printing;;;;;;;;;;;Uruguay
XXX1000004436;;;;;;;;;;;;Russian Federation
XXX1000004772;Manufacture of other food products n.e.c.;XXXA600133977;26/05/2025;Full initial audit;Announced;13;0;5;7;1;12;Brazil
XXX1000006254;Manufacture of vegetable and animal oils and fats;;;;;;;;;;;Australia
XXX1000006528;Warehousing and storage;XXXA600172516;01/12/2025;Periodic audit;Semi-announced;16;0;3;10;3;16;Chile
XXX1000006620;Manufacture of dairy products;XXXA426672448;26/02/2024;Full initial audit;Announced;3;0;0;1;2;3;Canada
XXX1000006865;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600143642;07/01/2026;Full initial audit;Announced;5;0;0;2;3;5;United States
XXX1000007737;Wholesale of agricultural raw materials and live animals;;;;;;;;;;;Germany
XXX1000008049;Manufacture of sugar;XXXA600162325;21/10/2025;Partial follow-up audit;Announced;0;0;0;0;0;0;Portugal
XXX1000009;Manufacture of other food products n.e.c.;XXXA600083680;26/08/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1000009;Manufacture of other food products n.e.c.;XXXA600083680;26/08/2024;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1000009114;Manufacture of other food products n.e.c.;;;;;;;;;;;United States
XXX1000009120;Manufacture of spices, sauces and condiments;XXXA600151443;08/10/2025;Periodic audit;Semi-announced;1;0;0;1;0;1;Germany
XXX1000009121;Manufacture of spices, sauces and condiments;XXXA600152684;02/10/2025;Periodic audit;Semi-announced;0;0;0;0;0;0;Germany
XXX1000009223;Manufacture of plastics and synthetic rubber in primary forms;;;;;;;;;;;Canada
XXX1000009241;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600145731;24/07/2025;Periodic audit;Semi-announced;1;0;0;0;1;1;United States
XXX1000009331;Manufacture of dairy products;;;;;;;;;;;Poland
XXX1000009487;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600020082;10/08/2023;Full initial audit;Announced;0;0;0;0;0;0;United States
XXX1000009637;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;;;;;;;;;;;Viet Nam
XXX1000009920;Manufacture of plastics products;XXXA600169903;25/11/2025;Periodic audit;Announced;0;0;0;0;0;0;Pakistan
XXX1000009937;Manufacture of bakery products;XXXA600169820;10/12/2025;Periodic audit;Semi-announced;11;0;3;7;1;11;United States
XXX1000010759;Manufacture of sugar;;;;;;;;;;;India
XXX1000011242;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600171035;25/11/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Egypt
XXX1000011269;Printing;;;;;;;;;;;China
XXX1000011719;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600127132;22/04/2025;Partial follow-up audit;Announced;2;0;1;1;0;2;Belgium
XXX1000012315;Manufacture of dairy products;XXXA600128224;09/07/2025;Periodic audit;Announced;1;0;0;1;0;1;United States
XXX1000012323;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600078456;23/07/2024;Full initial audit;Semi-announced;0;0;0;0;0;0;Uruguay
XXX1000012604;Manufacture of other food products n.e.c.;XXXA600112816;04/03/2025;Periodic audit;Announced;2;1;0;1;0;2;United States
XXX1000013474;Manufacture of corrugated paper and paperboard and of containers of paper and paperboard;XXXA600028418;04/10/2023;Full initial audit;Announced;6;0;0;3;3;6;Viet Nam
XXX1000014091;Manufacture of other food products n.e.c.;XXXA600185772;12/02/2026;Full initial audit;Semi-announced;8;0;1;6;1;8;Canada
XXX1000014127;Packaging activities;XXXA600077385;17/07/2024;Partial follow-up audit;Semi-announced;0;0;0;0;0;0;India
XXX1000014210;Distilling, rectifying and blending of spirits;XXXA600139506;30/06/2025;Periodic audit;Announced;8;0;1;5;2;8;Mexico
XXX1000014572;Manufacture of vegetable and animal oils and fats;;;;;;;;;;;Netherlands
XXX1000014908;Manufacture of grain mill products;XXXA600113029;04/03/2025;Full initial audit;Semi-announced;0;0;0;0;0;0;Poland
XXX1000014984;Manufacture of vegetable and animal oils and fats;XXXA600167706;12/11/2025;Full initial audit;Announced;8;0;2;3;3;8;Indonesia
XXX1000015;;;;;;;;;;;;India
XXX1000015316;Printing;;;;;;;;;;;United States
XXX1000015524;Manufacture of fertilizers and nitrogen compounds;XXXA600074820;23/07/2024;Partial follow-up audit;Announced;5;0;1;3;1;5;Poland
XXX1000015627;Manufacture of cocoa, chocolate and sugar confectionery;XXXA600035439;12/12/2023;Full initial audit;Announced;3;0;2;1;0;3;United States
XXX1000015953;Manufacture of other food products n.e.c.;;;;;;;;;;;Spain
XXX1000016;Manufacture of vegetable and animal oils and fats;XXXA600189562;12/03/2026;Full initial audit;Semi-announced;5;0;0;3;2;1;United States
XXX1000016517;Security and commodity contracts brokerage;;;;;;;;;;;United States
